"","name","abv","ibu","style","brewery"
"1","Mexican Imperial Stout","
9% ","
65 ","Stout - American Imperial / Double","calavera.html"
"2","American Pale Ale","
6.5% ","
35 ","Pale Ale - American","calavera.html"
"3","Calavera Tripel de Abad�a","
8.5% ","
25 ","Belgian Tripel","calavera.html"
"4","Calavera Dubbel de Abadia","
6.4% ","
19 ","Belgian Dubbel","calavera.html"
"5","Witbier","
4.8% ","
13 ","Witbier","calavera.html"
"6","Morning Star","
7.8% ","
80 ","IPA - American","calavera.html"
"7","Ofrenda","
10% ","
27 ","Belgian Tripel","calavera.html"
"8","Mjolnir","
8% ","
70 ","IPA - Imperial / Double","calavera.html"
"9","Ruta Maya","
6% ","
19 ","Belgian Strong Dark Ale","calavera.html"
"10","Coraz�n Negro","
12% ","
65 ","Stout - Imperial / Double","calavera.html"
"11","G�era Gal�ctica","
4% ","
N/A ","Blonde Ale","calavera.html"
"12","Calavera Smoky Scottish Ale 80/-","
5.4% ","
N/A ","Smoked Beer","calavera.html"
"13","Penumbra","
4.5% ","
N/A ","Schwarzbier","calavera.html"
"14","Maquahuitl","
6.5% ","
70 ","IPA - Black / Cascadian Dark Ale","calavera.html"
"15","Sanctum","
8% ","
21 ","Bock - Weizenbock","calavera.html"
"16","Sangre De Unicornio","
3% ","
N/A ","Fruit Beer","calavera.html"
"17","Ofrenda 2015","
10% ","
27 ","Belgian Tripel","calavera.html"
"18","Quintaesencia","
12% ","
27 ","Other","calavera.html"
"19","Coraz�n Amargo","
9% ","
N/A ","IPA - International","calavera.html"
"20","Pacto","
N/A ","
N/A ","Lager - Munich Dunkel","calavera.html"
"21","Sanctum 2012","
6.5% ","
N/A ","Hefeweizen","calavera.html"
"22","Ofrenda 2017","
10% ","
27 ","Belgian Tripel","calavera.html"
"23","Sanctum 2017","
7.5% ","
21 ","Bock - Weizenbock","calavera.html"
"24","Ofrenda 2016","
10% ","
27 ","Belgian Tripel","calavera.html"
"25","Calavera Oktobeerfest","
N/A ","
N/A ","M�rzen","calavera.html"
