"row","name","abv","ibu","style","brewery"
"1","Skol",0.047,16,"Lager - North American Adjunct","AmBev Brasil"
"2","Brahma (4.8%)",0.048,16,"Lager - North American Adjunct","AmBev Brasil"
"3","Antarctica Original",0.05,16,"Lager - North American Adjunct","AmBev Brasil"
"4","Serramalte",0.055,22,"Lager - Pale","AmBev Brasil"
"5","Chopp Brahma",0.05,22,"Lager - Pale","AmBev Brasil"
"6","Brahma (4.3%)",0.043,16,"Lager - North American Adjunct","AmBev Brasil"
"7","Antarctica",0.049,16,"Lager - North American Adjunct","AmBev Brasil"
"8","Brahma Extra Lager",0.055,12,"Lager - Pale","AmBev Brasil"
"9","Brahma Extra Red Lager",0.052,19,"Lager - American Amber / Red","AmBev Brasil"
"10","Brahma Extra Weiss",0.049,10,"Hefeweizen","AmBev Brasil"
"11","Chopp Brahma Black",0.05,26,"Schwarzbier","AmBev Brasil"
"12","Antarctica Sub Zero",0.046,15,"Lager - American Light","AmBev Brasil"
"13","Skol Hops",0.04,22,"Lager - Pale","AmBev Brasil"
"14","Caracu",0.054,35,"Stout - Milk / Sweet","AmBev Brasil"
"15","Brahma Malzbier",0.04,28,"Malt Beer","AmBev Brasil"
"16","Polar Export",0.05,16,"Lager - North American Adjunct","AmBev Brasil"
"17","Skol Beats Senses",0.08,8,"Malt Liquor ","AmBev Brasil"
"18","Skol Beats",0.052,16,"Lager - North American Adjunct","AmBev Brasil"
"19","Skol Ultra",0.042,15,"Lager - American Light","AmBev Brasil"
"20","Brahma 0,0%",0.004,15,"Non-Alcoholic Beer","AmBev Brasil"
"21","Skol Beats Extreme",0.069,10,"Malt Liquor ","AmBev Brasil"
"22","Skol Beats Spirit",0.079,8,"Malt Liquor ","AmBev Brasil"
"23","Brahma Light",0.043,15,"Lager - American Light","AmBev Brasil"
"24","Antarctica Cristal",0.055,16,"Lager - North American Adjunct","AmBev Brasil"
"25","Brahma Extra Märzen Lager",0.06,20,"Märzen","AmBev Brasil"
"26","Bud Light",0.042,27,"Lager - American Light","Anheuser-Busch"
"27","Budweiser",0.05,12,"Lager - North American Adjunct","Anheuser-Busch"
"28","Michelob ULTRA",0.042,10,"Lager - American Light","Anheuser-Busch"
"29","Bud Light Lime",0.042,8,"Lager - American Light","Anheuser-Busch"
"30","Busch Light",0.041,15,"Lager - American Light","Anheuser-Busch"
"31","Bud Light Platinum",0.06,12,"Lager - American Light","Anheuser-Busch"
"32","Natural Light",0.042,15,"Lager - American Light","Anheuser-Busch"
"33","Michelob AmberBock",0.051,19,"Bock - Single / Traditional","Anheuser-Busch"
